,name,address
58,강원삼척시교동점,강원 삼척시 정상로
59,강원강릉시주문진점,강원 강릉시 주문진읍 주문로
60,강원횡성군횡성점,강원 횡성군 횡성읍 읍하로
61,강원화천군사내점,강원 화천군 사내면 사내로
62,강원철원군신철원점,강원 철원군 갈말읍 삼부연로
63,서울도봉구신창점,서울 도봉구 덕릉로
64,경기파주시선유점,경기 파주시 문산읍 독서울길
65,경기양주시광적점,경기 양주시 광적면 삼일로
66,경기연천군전곡점,경기도 연천군 전곡읍 은전로
67,경기동두천시생연점,경기 동두천시 삼육사로
68,경기포천시신읍리점,경기 포천시 왕방로
69,서울도봉구도봉1점,서울 도봉구 마들로
70,경기양주시신산점,경기 양주시 남면 개나리길
71,서울강북구미아점,서울 강북구 삼양로
72,경기의정부시의정부1점,경기 의정부시 호국로
73,경기양주시덕계점,경기 양주시 평화로
74,경기양주시장흥점,경기 양주시 장흥면 호국로
75,서울성동구행당1점,서울 성동구 왕십리로길
76,서울노원구상계1점,서울 노원구 동일로
77,경기연천군대광리점,경기 연천군 신서면 연신로
78,서울은평구불광점,서울 은평구 불광로
79,서울용산구원효점,서울 용산구 새창로길
80,경기고양시풍동점,경기 고양시 일산동구 숲속마을로
81,경기고양시주교점,경기 고양시 덕양구 원당로
82,경기의정부시금오지구점,경기 의정부시 청사로
83,서울성북구정릉점,서울 성북구 보국문로
84,서울서대문구홍제1점,서울 서대문구 통일로
85,경기고양시중산점,경기 고양시 일산동구 탄중로
86,경기양주시송추점,경기 양주시 장흥면 호국로
87,서울중랑구묵2동점,서울 중랑구 동일로
88,경기고양시라페스타점,경기 고양시 일산동구 무궁화로
89,경기파주시봉일천점,경기 파주시 조리읍 송비말길
90,서울동대문구용두1호점,서울 동대문구 정릉천동로
91,경기포천시양문점,경기 포천시 영중면 양문로
92,서울마포구망원점,서울 마포구 포은로
93,서울노원구공릉점,서울 노원구 공릉로
94,서울동대문구신이문점,서울 동대문구 한천로
95,서울노원구상계마들점,서울 노원구 한글비석로
96,경기파주시문산점,경기 파주시 문산읍 문향로
97,경기고양시성석점,경기 고양시 일산동구 고봉로
98,서울성북구보문점,서울 성북구 보문로
99,경기고양시행신3점,경기 고양시 덕양구 화신로
100,서울서대문구이대역점,서울 서대문구 연세로
101,서울중랑구망우점,서울 중랑구 용마산로
102,경기고양시식사동점,경기 고양시 일산동구 위시티3로
103,경기양주시고읍지구점,경기 양주시 고읍로
104,서울광진구화양점,서울 광진구 아차산로
105,경기연천군연천점,경기 연천군 연천읍 연천로
106,경기고양시주엽1점,경기 고양시 일산서구 대산로
107,서울광진구자양2점,서울 광진구 뚝섬로
108,서울광진구어린이대공원점,서울 광진구 광나루로
109,서울은평구역촌점,서울 은평구 역말로
110,서울강북구수유점,서울 강북구 삼양로
111,경기포천시이동점,경기 포천시 이동면 성장로
112,서울은평구신사점,서울 은평구 증산로
113,서울강북구삼각산점,서울 강북구 삼양로
114,경기동두천시송내지구점,경기 동두천시 동두천로
115,서울중랑구면목1동점,서울 중랑구 사가정로
116,서울동대문구장안점,서울 동대문구 장한로
117,서울노원구상계2점,서울 노원구 상계로
118,경기양주시덕정점,경기 양주시 화합로
119,서울도봉구방학1점,서울 도봉구 도당로
120,경기고양시대화점,경기 고양시 일산서구 강성로
121,서울성북구동소문점,서울 성북구 아리랑로
122,경기의정부시장암점,경기 의정부시 장곡로
123,서울동대문구청량리점,서울 동대문구 홍릉로
124,경기포천시내촌점,경기 포천시 내촌면 내촌로
125,서울도봉구방학2점,서울 도봉구 방학로
126,경기연천군백학점,경기 연천군 백학면 두백로
127,경기양주시백석점,경기 양주시 백석읍 호명로
128,경기의정부시신곡점,경기 의정부시 시민로
129,서울성북구장위2동점,서울 성북구 돌곶이로
130,서울성북구석관점(B),서울 성북구 한천로
131,서울성동구한양점,서울 성동구 마조로
132,경기포천시일동점,경기 포천시 일동면 화동로
133,서울성북구월곡점,서울 성북구 오패산로
134,서울성동구금호점,서울 성동구 독서당로
135,서울은평구응암점,서울 은평구 응암로
136,서울동대문구전농2점,서울 동대문구 답십리로
137,경기고양시행신2점,경기 고양시 덕양구 무원로
138,경기의정부시금오점,경기 의정부시 하금로
139,경기고양시백마점,경기 고양시 일산동구 경의로
140,경기고양시덕이점,경기 고양시 일산서구 탄중로
141,서울종로구창신점(B),서울 종로구 지봉로
142,경기의정부시호원점,경기 의정부시 평화로
143,경기파주시광탄점,경기 파주시 광탄면 새뜰길
144,경기동두천시중앙점,경기 동두천시 동광로
145,서울광진구중곡2점,서울 광진구 동일로
146,경기고양시신원점,경기 고양시 덕양구 권율대로
147,서울광진구자양점,서울 광진구 능동로
148,서울마포구서교점,서울 마포구 월드컵북로
149,서울강북구번동점,서울 강북구 오현로
150,서울마포구성산점,서울 마포구 월드컵북로
151,서울동대문구휘경1점,서울 동대문구 한천로
152,서울서대문구남가좌점,서울 서대문구 증가로
153,서울마포구광흥창역점,서울 마포구 독막로
154,경기의정부시망월사역점,경기 의정부시 평화로
155,서울광진구군자송정점,서울 광진구 동일로
156,경기의정부시가능3점,경기 의정부시 호국로
157,서울성북구길음점,서울 성북구 삼양로
158,경기포천시송우점,경기 포천시 소흘읍 봉솔로길
159,경기고양시관산점,경기 고양시 덕양구 통일로
160,서울노원구하계1점,서울 노원구 공릉로
161,서울마포구상암점(B),서울 마포구 월드컵북로
162,서울서대문구연희점,서울 서대문구 연희로
163,경기파주시금촌2동점,경기 파주시 황골로
164,서울용산구숙대점,서울 용산구 청파로
165,경기고양시고양동점,경기 고양시 덕양구 혜음로
166,서울중구중림점,서울 중구 중림로
167,서울용산구이촌점,서울 용산구 이촌로
168,경기고양시화정2점,경기도 고양시 덕양구 화정로
169,서울도봉구창동점,서울 도봉구 덕릉로
170,서울은평구녹번점,서울 은평구 백련산로
171,경기의정부시신시가지점,경기 의정부시 범골로
172,서울종로구혜화점,서울 종로구 명륜길
173,경기파주시적성점,경기 파주시 적성면 청송로
174,서울용산구보광점,서울 용산구 보광로
175,서울마포구홍대역점,서울특별시 마포구 동교로
176,서울종로구종로점,서울 종로구 수표로
177,경기파주시법원점,경기 파주시 법원읍 사임당로
178,경기파주시운정1점,경기 파주시 와석순환로
179,서울마포구공덕점,서울 마포구 만리재로
180,서울도봉구쌍문점,서울 도봉구 노해로
181,경기고양시가좌점,경기 고양시 일산서구 가좌로
182,서울동대문구회기점,서울 동대문구 회기로
183,서울도봉구도봉산역점,서울 도봉구 도봉산3길 
184,서울중랑구면목3점,서울 중랑구 용마산로
185,경기고양시일산점,경기 고양시 일산서구 원일로
186,서울중구을지로점,서울 중구 퇴계로
187,서울은평구갈현1점,서울 은평구 연서로
188,경기파주시LCD점,경기 파주시 월롱면 엘씨디로
189,서울동대문구전농점,서울 동대문구 전농로
190,서울강북구수유2점,서울 강북구 삼각산로
191,서울중랑구중화점,서울 중랑구 동일로
192,서울성북구종암점(B),서울 성북구 종암로
193,경기고양시화정1점,경기 고양시 덕양구 화중로
194,경기포천시가산점,경기 포천시 가산면 가산로
195,경기의정부시민락용현점,경기 의정부시 용현로
196,서울서대문구북가좌2점,서울 서대문구 증가로
197,서울중랑구신내1점,서울 중랑구 신내로
198,경기의정부시가능2점,경기 의정부시 가능로
199,서울노원구중계4동점,서울 노원구 덕릉로
200,서울은평구구산점,서울 은평구 갈현로
201,경기연천군군남점,경기 연천군 군남면 군왕로
202,서울서대문구홍은1점,서울 서대문구 간호대로
203,서울중랑구상봉1점,서울 중랑구 신내로
204,서울중랑구용마산역점,서울 중랑구 면목로
205,경기고양시성사점,경기 고양시 덕양구 마상로
206,서울성동구성수2가점,서울 성동구 성덕정길
207,경기양주시은현점,경기 양주시 은현면 은현로
208,서울서대문구연대점,서울 서대문구 연세로
209,서울마포구마포역점,서울 마포구 새창로
210,서울은평구대조점,서울 은평구 통일로
211,서울마포구염리점,서울 마포구 마포대로
212,경기파주시운정3점,경기 파주시 한빛로
213,서울광진구중곡1점,서울 광진구 면목로
214,서울성북구성신여대점(B),서울 성북구 보문로
215,서울중구신당2점,서울 중구 청구로
216,서울종로구광화문점(B),서울 종로구 사직로
217,서울노원구상계중앙점,서울 노원구 동일로
218,서울종로구독립문점,서울 종로구 통일로
219,서울중랑구면목2점,서울 중랑구 망우로
220,서울노원구중계2동점,서울 노원구 동일로
221,경기의정부시녹양점(B),경기 의정부시 녹양로
222,경기고양시능곡점,경기 시흥시 장현능곡로
223,서울서초구반포1점,서울 서초구 반포대로
224,서울금천구시흥2점,서울 금천구 금하로
225,서울동작구대방점,서울 동작구 등용로
226,서울동작구신대방점,서울 동작구 여의대방로
227,서울서초구방배1호점,서울 서초구 방배로
228,서울영등포구여의도점,서울 영등포구 의사당대로
229,서울관악구신림2점,서울 관악구 신림로
230,서울영등포구영등포점,서울 영등포구 영신로
231,서울송파구거여점,서울 송파구 성내천로
232,서울동작구상도1점,서울 동작구 상도로
233,서울영등포구대림3점,서울 영등포구 도림로
234,서울송파구삼전점,서울 송파구 삼전로6길
235,서울동작구노량진점,서울 동작구 만양로
236,서울강남구개포1점,서울 강남구 개포로
237,경기과천시과천1점,경기 과천시 별양로
238,서울서초구양재점,서울 서초구 동산로
239,서울동작구상도2호점,서울 동작구 성대로
240,서울영등포구여의도2호점,서울 영등포구 국제금융로
241,서울서초구잠원점,서울 서초구 나루터로
242,서울영등포구신풍역점,서울 영등포구 대방천로
243,서울관악구인헌점,서울 관악구 인헌길
244,서울서초구우면점,서울 서초구 형촌길
245,서울송파구잠실본점,서울 송파구 백제고분로
246,서울영등포구영등포푸르지오점,서울 영등포구 양산로
247,서울관악구신림점,서울 관악구 문성로
248,서울송파구석촌점,서울 송파구 가락로
249,서울관악구봉천중앙점,서울 관악구 남부순환로
250,서울송파구가락2점,서울 송파구 송이로
251,서울송파구문정장지점,서울 송파구 새말로
252,서울송파구오금점(B),서울 송파구 마천로
253,서울금천구가산독산1동점,서울 금천구 가산로
254,서울동작구총신대점,서울 동작구 솔밭로
255,서울금천구독산점,서울 금천구 남부순환로
256,서울송파구가락점,서울 송파구 문정로
257,서울서초구방배본동점,서울 서초구 방배중앙로
258,서울서초구반포2점,서울 서초구 강남대로
259,서울서초구서초2점,서울 서초구 효령로
260,서울강남구역삼충현점,서울 강남구 봉은사로
261,서울서초구서초1호점,서울 서초구 효령로
262,서울관악구신림남부점,서울 관악구 남부순환로
263,서울관악구난곡점,서울 관악구 미성길
264,서울강남구신사점,서울 강남구 논현로
265,서울강남구도곡점,서울 강남구 도곡로
266,서울송파구풍납점,서울 송파구 풍성로
267,서울동작구사당이수점,서울 동작구 사당로
268,서울관악구봉천현대점(B),서울 관악구 봉천로
269,서울영등포구대림점(B),서울 영등포구 디지털로
270,서울송파구송파방이2점,서울 송파구 가락로
271,서울서초구서초중앙점,서울 서초구 서초중앙로
272,서울강남구논현1점,서울 강남구 강남대로
273,서울관악구봉천점,서울 관악구 은천로
274,서울금천구금천점,서울 금천구 은행나무로
275,서울강남구청담점,서울 강남구 삼성로
276,서울송파구위례점,서울 송파구 위례광장로
277,서울송파구잠실1점,서울 송파구 올림픽로
278,서울강남구대치점,서울 강남구 삼성로
279,서울강남구역삼1점,서울 강남구 논현로
280,서울강남구세곡자곡점,서울 강남구 자곡로
281,서울동작구중대점,서울 동작구 흑석로
282,서울동작구상도2호점(B),서울 동작구 성대로 
283,서울송파구잠실새내역점,서울 송파구 올림픽로
284,서울영등포구신길점,서울 영등포구 가마산로
285,서울강남구수서점,서울 강남구 광평로
286,서울양천구신정점,서울 양천구 신목로
287,서울강서구염창점,서울 강서구 양천로
288,서울강서구방화2점,서울 강서구 금낭화로
289,경기광명시하안점,경기 광명시 하안로
290,서울양천구신정1동점,서울 양천구 은행정로
291,서울구로구구로1점,서울 구로구 구로동로
292,서울강서구화곡본동점,서울 강서구 초록마을로
293,서울강서구등촌3동점,서울 강서구 공항대로
294,경기안양시평촌1호점,경기 안양시 동안구 달안로
295,경기광명시철산점,경기 광명시 도덕공원로
296,경기안양시비산1호점,경기 안양시 동안구 경수대로
297,서울강서구까치산점,서울 강서구 강서로
298,서울강서구화곡남부시장점,서울 강서구 곰달래로
299,경기안양시석수점,경기 안양시 만안구 석천로
300,서울강서구화곡1동점,서울 강서구 가로공원로
301,서울양천구신월1동점,서울 양천구 가로공원로
302,경기안양시안양2호점,경기 안양시 만안구 냉천로
303,서울강서구등촌2동점,서울 강서구 등촌로
304,경기안양시호계갈산점,경기 안양시 동안구
305,경기광명시소하점,경기 광명시소하로
306,서울양천구양천구청점,서울 양천구 목동남로
307,경기안양시호계오전점,경기 안양시 동안구 포도원로
308,경기광명시광명KTX역점,경기 광명시 덕안로
309,서울강서구가양1점(B),서울 강서구 양천로
310,서울양천구화곡3동점,서울 양천구 월정로
311,서울구로구남구로점,서울 구로구 도림로
312,경기광명시광명사거리점,경기 광명시 오리로
313,서울강서구방화1점,서울 강서구 양천로
314,서울양천구신월2점,서울 양천구 오목로
315,서울양천구목4동점,서울 양천구 목동중앙서로
316,경기안양시호계2호점,경기 안양시 동안구 전파로
317,서울강서구수명산파크점,서울 강서구 강서로
318,서울구로구오류1점,서울 구로구 부일로
319,서울양천구신월점,서울 양천구 신월로
320,서울구로구구로테크노마트점,서울 구로구 새말로
321,서울구로구고척1점,서울 구로구 경서로
322,경기광명시철산역점,경기 광명시 디지털로
323,경기안양시박달점,경기 안양시 만안구 양화로
324,서울구로구구로시장점,서울 구로구 구로동로
325,서울구로구근린공원점,서울 구로구 고척로
326,서울구로구신도림점,서울 구로구 신도림로
327,경기안양시관양지구점,경기 안양시 동안구 관악대로
328,경기안양시관양비산점,경기 안양시 동안구 평촌대로
329,서울구로구개봉점(B),
330,경기광명시광명시장점,경기 광명시 광이로
331,경기안양시평촌2호점,경기 안양시 동안구 관평로
332,경기안양시안양1호점,경기 안양시 만안구 냉천로
333,경기부천시송내점,경기 부천시 소사구 송내대로
334,경기김포시양곡점,경기 김포시 김포한강로
335,인천동구동인천송현점,인천 동구 화도로
336,인천부평구부개점,인천 부평구 길주남로
337,경기시흥시월곶점,경기 시흥시 월곶중앙로
338,인천남동구논현점,인천 남동구 논곡로
339,경기부천시범박점,경기 부천시 소사구 소사동로
340,경기부천시원종점,경기 부천시 오정구 소사로
341,인천계양구계산점,인천 계양구 용마루길
342,경기부천시심곡점,경기 부천시 소사구 심곡로
343,경기부천시소사점,경기 부천시 소사구 은성로
344,경기부천시역곡점,경기 부천시 원미구 역곡로
345,인천남구주안점,인천 남구 인주대로
346,경기부천시원미점,경기 부천시 원미구 조마루로
347,인천남구주안역점,인천 남구 주안로
348,경기부천시오정점,경기 부천시 오정구 부천로
349,경기김포시김포1호점,경기 김포시 관순로
350,경기부천시역곡남부점,경기 부천시 소사구 부광로
351,인천부평구부평중앙점,인천 부평구 장제로
352,인천부평구청천점,인천 부평구 마장로
353,인천남동구만수2점,인천 남동구 만수서로
354,인천서구가좌점,인천 서구 여우재로
355,경기김포시고촌점,경기 김포시 고촌읍 은행영사정로
356,경기김포시풍무점,경기 김포시 양도로
357,경기김포시장기점,경기 김포시 김포한강로
358,인천서구검암점,인천 서구 도요지로
359,인천강화군강화1점,인천 강화군 강화읍 강화대로
360,인천부평구부평남부점,인천 부평구 남부역로
361,인천남동구간석점(B),인천 남동구 구월로
362,인천연수구송도신도시점,인천 연수구 해돋이로
363,경기부천시심곡북부점,경기 부천시 원미구 부흥로
364,경기시흥시거모점(B),경기 시흥시 한우물로
365,인천서구마전점,인천 서구 검단로
366,인천중구월미점,인천 중구 월미로
367,인천중구하늘도시점,인천 중구 하늘달빛로
368,인천연수구선학점,인천 연수구 선학로
369,경기시흥시시화점,경기 시흥시 중심상가로
370,인천서구신현점(B),인천 서구 율도로
371,인천옹진군백령점,인천 옹진군 백령면 백령로
372,인천남동구논현택지점(B),인천 남동구 소래역서로
373,인천남구문학관교점,인천 남구 매소홀로
374,경기시흥시정왕점,경기 시흥시 정왕천로
375,경기시흥시은행점,경기 시흥시 은행로
376,경기부천시상동북부점,경기 부천시 원미구 송내대로
377,인천부평구부일점,인천 부평구 경인로
378,인천남동구서창1점,인천 남동구 서창남순환로
379,인천남구제물포점,인천 남구 수봉안길
380,인천연수구송도3동점,인천 연수구 송도문화로
381,경기시흥시능곡점,경기 시흥시 장현능곡로
382,인천연수구연수2동3동점,인천 연수구 샘말로
383,인천서구청라1호점,인천 서구 청라라임로
384,인천계양구작전점,인천 계양구 주부토로
385,인천부평구십정점,인천 부평구 열우물로
386,경기부천시고강점,경기 부천시 오정구 역곡로
387,인천남동구만수1점,인천 남동구 하촌로
388,경기시흥시신천점(B),경기 시흥시 신천로
389,인천중구운서점,인천 중구 영종대로
390,인천계양구계양점,인천 계양구 임학서로
391,인천연수구동춘점,인천 연수구 먼우금로
392,경기김포시마송점,경기 김포시 통진읍 조강로
393,경기시흥시목감점,경기 시흥시 논곡길
394,인천부평구갈산점(B),인천 부평구 굴포로
395,경기부천시중동1점,경기 부천시 중동로
396,인천부평구삼산1동점,인천 부평구 대보로
397,경기시흥시연성2지구점,경기 시흥시 장곡로
398,인천계양구효성점(B),인천 계양구 새벌로
399,인천연수구옥련점(B),인천 연수구 한나루로
400,인천남구주안2점,인천 남구 인주대로
401,인천동구송림점,인천 동구 동산로
402,인천서구석남점,인천 서구 면개포로
403,경기부천시여월점,경기 부천시 오정구 삼작로
404,인천부평구부평롯데점,인천 부평구 경원대로
405,인천서구연희점,인천 서구 승학로
406,인천남동구구월점,인천 남동구 용천로
407,경기부천시상동점,경기 부천시 원미구 조마루로
408,인천부평구산곡점,인천 부평구 화랑남로
409,인천계양구동양점,인천 계양구 당미길
410,인천서구당하점,인천 서구 원당대로
411,인천계양구계산중앙점(B),인천 계양구 게양대로
412,경기시흥시오이도역점,경기 시흥시 함송로
413,경기부천시중동약대점,경기 부천시 원미구 도약로
414,인천연수구청학점,인천 연수구 비류대로
415,인천남구용현점,인천 남구 아암대로
416,인천남구학익점,인천 남구 소성로
417,경기시흥시배곧1점,경기 시흥시 배곧4로
418,경기남양주시오남리점,경기 남양주시 오남읍 진건오남로
419,경기남양주시금곡점,경기 남양주시 경춘로
420,경기양평군양평점,경기 양평군 양평읍 양근로
421,경기남양주시사능점,경기 남양주시 진건읍 진건오남로
422,경기구리시인창점,경기 구리시 건원대로
423,경기남양주시덕소점(B),경기 남양주시 와부읍 덕소로
424,경기남양주시월산점,경기 남양주시 화도읍 경춘로
425,경기가평군청평점,경기 가평군 청평면 잠곡로
426,경기가평군가평점,경기 가평군 가평읍 석봉로
427,경기이천시갈산점,경기 이천시 영창로
428,경기여주시여주점,경기 여주시 여흥로
429,경기가평군현리점,경기 가평군 하면 현창로
430,경기남양주시호평점,경기도 남양주시 천마산로
431,경기광주시태전점,경기 광주시 태봉로
432,경기여주시가남점,경기 여주군 가남면 경충대로
433,경기남양주시수동점,경기 남양주시 수동면 비룡로
434,경기하남시덕풍점,경기 하남시 신평로
435,경기구리시수택점,경기 구리시 원수택로
436,경기광주시양벌점,경기 광주시 오포읍 양벌로
437,경기양평군용문점,경기 양평군 용문면 다문북길
438,경기남양주시도농점,경기 남양주시 미금로
439,경기성남시이매점,경기 성남시 분당구 성남대로
440,경기남양주시별내점,경기 남양주시 별내3로
441,서울강동구성내1점,서울 강동구 천호옛길
442,서울강동구강일점,서울 강동구 아리수로
443,경기광주시오포2호점,경기 광주시 오포읍 오포로
444,서울강동구암사2점,서울 강동구 고덕로
445,경기남양주시평내점,경기 남양주시 경춘로
446,경기양평군용두리점,경기 양평군 청운면 용두로
447,경기남양주시덕소2호점,경기 남양주시 와부읍 수레로
448,서울강동구천호2동점,서울 강동구 올림픽로
449,서울강동구둔촌점,서울 강동구 천호대로
450,경기성남시서현점(B),경기 성남시 분당구 중앙공원로
451,경기성남시정자점,경기 성남시 분당구 백현로
452,경기성남시정자2호점,경기 성남시 분당구 정자로
453,서울강동구천호1점,서울 강동구 구천면로
454,경기남양주시퇴계원점,경기 남양주시 퇴계원면 퇴계원로
455,경기가평군북면점,경기 가평군 북면 화악산로
456,경기광주시신현점,경기 광주시 오포읍 신현로
457,경기성남시구미점,경기 성남시 분당구
458,경기하남시신장점,경기 하남시 하남대로
459,경기남양주시창현점,경기 남양주시 화도읍 수레로
460,경기성남시수진점,경기 성남시 수정구 산성대로
461,경기광주시곤지암점,경기 광주시 곤지암읍 평촌길
462,경기성남시서판교점,경기 성남시 분당구 판교로
463,경기남양주시진접지구점,경기 남양주시 진접읍 해밀예당로
464,경기성남시위례중앙점,경기 성남시 수정구 위례서일로 3길
465,경기광주시광주점,경기 광주시 통미로
466,경기이천시아미점,경기 이천시 부발읍 경충대로
467,서울강동구명일점(B),서울 강동구 동남로
468,경기양평군한화리조트점,경기 양평군 옥천면 신촌길
469,경기남양주시별내2호점,경기 남양주시 두물로
470,경기성남시야탑점,경기 성남시 분당구 매화로
471,경기이천시관고동점,경기 이천시 영창로
472,경기여주시오학점,경기 여주시 학동 1길
473,경기성남시태평점,경기 성남시 수정구 탄리로
474,경기성남시성남점,경기 성남시 중원구 원터로
475,경기남양주시천마산점,경기 남양주시 화도읍 먹갓로
476,경기구리시교문점,경기 구리시 안골로
477,경기하남시미사1점,경기도 하남시 미사강변한강로
478,경기성남시단대오거리점,경기 성남시 중원구 자혜로
479,경기성남시상대원점,경기 성남시 중원구 박석로
480,경기성남시동판교점(B),경기 성남시 분당구 동판교로
481,경기남양주시다산진건점,경기 남양주시 다산순환로
482,서울강동구길동1점,서울 강동구 진황도로
483,경기성남시수내점(B),경기 성남시 분당구 발이봉북로
484,경기오산시운암1점,경기 오산시 운천로
485,경기안산시월피점,경기 안산시 상록구 예술광장로
486,경기오산시궐동점,경기 오산시 궐동로
487,경기평택시포승점,경기 평택시 포승읍 여술로
488,경기화성시안녕점,경기 화성시 화산중앙로
489,경기안산시초지점,경기 안산시 단원구 초지로
490,경기화성시향남1지구점,경기 화성시 향남읍 행정서로2길
491,경기오산시세교신도시점,경기 오산시 오산대역로
492,경기평택시팽성점(B),경기 평택시 팽성읍 팽성대교길
493,경기군포시군포점,경기 군포시 군포로
494,경기군포시금정점,경기 군포시 당산로
495,경기군포시대야미점,경기 군포시 대야로
496,경기군포시산본목련점,경기 군포시 고산로
497,경기수원시영통1호점,경기 수원시 영통구 매영로
498,경기수원시우만점,경기 수원시 팔달구 중부대로
499,경기용인시신갈점,경기 용인시 기흥구 용구대로
500,경기용인시용인1호점,경기 용인시 처인구 중부대로
501,경기의왕시내손동점,경기 의왕시 복지
502,경기의왕시부곡점,경기 의왕시 부곡중앙남길
503,경기용인시모현점,경기 용인시 처인구 모현면 백옥대로
504,경기수원시매교세류점,경기 수원시 팔달구 효원로
505,경기수원시정자2동점,경기 수원시 장안구 수성로
506,경기용인시죽전1호점,경기 용인시 수지구 푸른솔로
507,경기용인시구성점,경기 용인시 기흥구 마북로
508,경기안산시본오1호점,경기 안산시 상록구 반석로
509,경기화성시병점1호점,경기 화성시 경기대로
510,경기안산시신도시점,경기 안산시 단원구 광덕로
511,경기평택시지산점,경기 평택시 지산로
512,경기평택시청북점,경기 평택시 청북면 안청로
513,경기수원시매탄권선점,경기 수원시 영통구 권선로
514,경기안산시와동점,경기 안산시 단원구 선부로
515,경기안산시선부1점,경기 안산시 단원구 화정천서로
516,경기오산시원동갈곶점,경기 오산시 밀머리로
517,경기용인시상현점,경기 용인시 수지구 만현로
518,경기용인시수지2지구점,경기 용인시 수지구 정평로
519,경기용인시풍덕천점,경기 용인시 수지구 풍덕천로
520,경기평택시이충장당점,경기 평택시 이충로
521,경기화성시남양점,경기 화성시 남양시장로
522,경기평택시안중점,경기 평택시 안중읍 안현로서길
523,경기안산시사동점,경기 안산시 상록구 감골2로
524,경기화성시향남2지구점,경기 화성시 향남읍 한절이길
525,경기평택시용이지구점,경기 평택시 현신로
526,경기수원시세류2호점,경기 수원시 권선구 덕영대로
527,경기용인시서천점,경기 용인시 기흥구 서천서로
528,경기안산시중앙점(B),경기 안산시 단원구 예술대학로
529,경기안산시선부1동점,경기 안산시 단원구 선부광장서로
530,경기군포시산본역점(B),경기 군포시 쟁골길
531,경기수원시신영통점,경기 수원시 영통구 태장로
532,경기용인시보라점,경기 용인시 기흥구 한보라로
533,경기화성시동탄1호점,경기 화성시 동탄반송3길
534,경기화성시동탄2호점,경기 화성시 동탄반석로
535,경기수원시곡반정점,경기 수원시 권선구 곡선로
536,경기수원시호매실점,경기 수원시 권선구 매실로
537,경기수원시매탄2동점,경기 수원시 영통구 산남로
538,경기용인시상갈점,경기 용인시 기흥구 금화로
539,경기용인시백암점,경기 용인시 백암로
540,경기수원시구운탑동점,경기 수원시 권선구 구운로
541,경기수원시정자1동점,경기 수원시 장안구 대평로
